#      x          Cp  
     1.00000    0.41155
     0.99180    0.22235
     0.98067    0.16384
     0.96782    0.11376
     0.95357    0.07394
     0.93838    0.03993
     0.92265    0.01037
     0.90663   -0.01579
     0.89046   -0.03931
     0.87420   -0.06074
     0.85789   -0.08051
     0.84156   -0.09892
     0.82520   -0.11622
     0.80884   -0.13259
     0.79245   -0.14818
     0.77606   -0.16312
     0.75966   -0.17749
     0.74326   -0.19139
     0.72684   -0.20487
     0.71043   -0.21801
     0.69401   -0.23084
     0.67758   -0.24342
     0.66116   -0.25579
     0.64474   -0.26797
     0.62832   -0.27999
     0.61191   -0.29188
     0.59550   -0.30368
     0.57909   -0.31539
     0.56270   -0.32704
     0.54631   -0.33865
     0.52994   -0.35025
     0.51358   -0.36185
     0.49724   -0.37350
     0.48092   -0.38521
     0.46462   -0.39706
     0.44834   -0.40912
     0.43211   -0.42157
     0.41592   -0.43451
     0.39982   -0.45039
     0.38384   -0.46609
     0.36794   -0.47772
     0.35210   -0.48814
     0.33632   -0.49729
     0.32059   -0.50530
     0.30492   -0.51220
     0.28931   -0.51797
     0.27377   -0.52258
     0.25831   -0.52595
     0.24293   -0.52801
     0.22765   -0.52865
     0.21248   -0.52774
     0.19745   -0.52514
     0.18256   -0.52068
     0.16785   -0.51414
     0.15336   -0.50530
     0.13914   -0.49387
     0.12525   -0.47954
     0.11179   -0.46197
     0.09889   -0.44082
     0.08668   -0.41579
     0.07533   -0.38670
     0.06499   -0.35350
     0.05575   -0.31629
     0.04761   -0.27520
     0.04054   -0.23032
     0.03441   -0.18159
     0.02911   -0.12879
     0.02453   -0.07148
     0.02055   -0.00909
     0.01707    0.05906
     0.01404    0.13374
     0.01138    0.21570
     0.00906    0.30551
     0.00704    0.40334
     0.00530    0.50855
     0.00381    0.61901
     0.00258    0.73035
     0.00159    0.83517
     0.00084    0.92293
     0.00034    0.98137
     0.00006    0.99984
     0.00001    0.97331
     0.00016    0.89865
     0.00056    0.77551
     0.00122    0.61625
     0.00215    0.44044
     0.00334    0.26804
     0.00480    0.11285
     0.00653   -0.01877
     0.00853   -0.12599
     0.01081   -0.21096
     0.01339   -0.27693
     0.01631   -0.32721
     0.01960   -0.36471
     0.02333   -0.39183
     0.02757   -0.41048
     0.03242   -0.42211
     0.03798   -0.42779
     0.04440   -0.42840
     0.05181   -0.42458
     0.06036   -0.41691
     0.07013   -0.40599
     0.08113   -0.39246
     0.09329   -0.37703
     0.10643   -0.36042
     0.12037   -0.34321
     0.13492   -0.32588
     0.14993   -0.30873
     0.16529   -0.29194
     0.18092   -0.27564
     0.19677   -0.25988
     0.21279   -0.24471
     0.22896   -0.23014
     0.24525   -0.21618
     0.26165   -0.20285
     0.27814   -0.19014
     0.29471   -0.17809
     0.31136   -0.16670
     0.32807   -0.15602
     0.34483   -0.14611
     0.36165   -0.13708
     0.37849   -0.12904
     0.39533   -0.12322
     0.41212   -0.11971
     0.42888   -0.11321
     0.44564   -0.10620
     0.46241   -0.09886
     0.47921   -0.09139
     0.49603   -0.08386
     0.51287   -0.07634
     0.52974   -0.06885
     0.54662   -0.06142
     0.56353   -0.05405
     0.58045   -0.04677
     0.59738   -0.03956
     0.61433   -0.03243
     0.63130   -0.02538
     0.64827   -0.01838
     0.66525   -0.01144
     0.68225   -0.00453
     0.69925    0.00238
     0.71625    0.00929
     0.73326    0.01625
     0.75027    0.02330
     0.76729    0.03047
     0.78430    0.03782
     0.80132    0.04543
     0.81833    0.05336
     0.83534    0.06173
     0.85233    0.07067
     0.86931    0.08036
     0.88624    0.09104
     0.90311    0.10303
     0.91982    0.11679
     0.93623    0.13299
     0.95207    0.15262
     0.96689    0.17709
     0.98019    0.21019
     0.99163    0.25249
     1.00000    0.41155
