#      x          Cp  
     1.00000    0.41276
     0.99180    0.22041
     0.98067    0.16004
     0.96782    0.10789
     0.95357    0.06608
     0.93838    0.03009
     0.92265   -0.00141
     0.90663   -0.02947
     0.89046   -0.05486
     0.87420   -0.07814
     0.85789   -0.09973
     0.84156   -0.11996
     0.82520   -0.13908
     0.80884   -0.15726
     0.79245   -0.17468
     0.77606   -0.19146
     0.75966   -0.20769
     0.74326   -0.22347
     0.72684   -0.23887
     0.71043   -0.25394
     0.69401   -0.26876
     0.67758   -0.28335
     0.66116   -0.29778
     0.64474   -0.31206
     0.62832   -0.32625
     0.61191   -0.34037
     0.59550   -0.35445
     0.57909   -0.36852
     0.56270   -0.38261
     0.54631   -0.39674
     0.52994   -0.41094
     0.51358   -0.42525
     0.49724   -0.43971
     0.48092   -0.45436
     0.46462   -0.46928
     0.44834   -0.48455
     0.43211   -0.50039
     0.41592   -0.51691
     0.39982   -0.53671
     0.38384   -0.55653
     0.36794   -0.57224
     0.35210   -0.58689
     0.33632   -0.60042
     0.32059   -0.61301
     0.30492   -0.62471
     0.28931   -0.63552
     0.27377   -0.64542
     0.25831   -0.65439
     0.24293   -0.66237
     0.22765   -0.66930
     0.21248   -0.67511
     0.19745   -0.67970
     0.18256   -0.68296
     0.16785   -0.68477
     0.15336   -0.68498
     0.13914   -0.68341
     0.12525   -0.67986
     0.11179   -0.67410
     0.09889   -0.66588
     0.08668   -0.65497
     0.07533   -0.64114
     0.06499   -0.62423
     0.05575   -0.60413
     0.04761   -0.58071
     0.04054   -0.55383
     0.03441   -0.52315
     0.02911   -0.48825
     0.02453   -0.44845
     0.02055   -0.40288
     0.01707   -0.35049
     0.01404   -0.28994
     0.01138   -0.21968
     0.00906   -0.13799
     0.00704   -0.04308
     0.00530    0.06655
     0.00381    0.19156
     0.00258    0.33083
     0.00159    0.48018
     0.00084    0.63126
     0.00034    0.77148
     0.00006    0.88637
     0.00001    0.96353
     0.00016    0.99861
     0.00056    0.98512
     0.00122    0.92336
     0.00215    0.82424
     0.00334    0.70434
     0.00480    0.57916
     0.00653    0.45952
     0.00853    0.35116
     0.01081    0.25616
     0.01339    0.17445
     0.01631    0.10493
     0.01960    0.04619
     0.02333   -0.00321
     0.02757   -0.04456
     0.03242   -0.07892
     0.03798   -0.10714
     0.04440   -0.12987
     0.05181   -0.14760
     0.06036   -0.16071
     0.07013   -0.16952
     0.08113   -0.17443
     0.09329   -0.17594
     0.10643   -0.17463
     0.12037   -0.17111
     0.13492   -0.16594
     0.14993   -0.15958
     0.16529   -0.15240
     0.18092   -0.14468
     0.19677   -0.13663
     0.21279   -0.12840
     0.22896   -0.12013
     0.24525   -0.11190
     0.26165   -0.10381
     0.27814   -0.09592
     0.29471   -0.08830
     0.31136   -0.08101
     0.32807   -0.07412
     0.34483   -0.06772
     0.36165   -0.06195
     0.37849   -0.05695
     0.39533   -0.05385
     0.41212   -0.05280
     0.42888   -0.04882
     0.44564   -0.04424
     0.46241   -0.03926
     0.47921   -0.03406
     0.49603   -0.02872
     0.51287   -0.02330
     0.52974   -0.01784
     0.54662   -0.01237
     0.56353   -0.00690
     0.58045   -0.00145
     0.59738    0.00397
     0.61433    0.00937
     0.63130    0.01475
     0.64827    0.02010
     0.66525    0.02545
     0.68225    0.03080
     0.69925    0.03616
     0.71625    0.04157
     0.73326    0.04705
     0.75027    0.05262
     0.76729    0.05834
     0.78430    0.06424
     0.80132    0.07040
     0.81833    0.07689
     0.83534    0.08381
     0.85233    0.09128
     0.86931    0.09947
     0.88624    0.10861
     0.90311    0.11902
     0.91982    0.13115
     0.93623    0.14564
     0.95207    0.16348
     0.96689    0.18609
     0.98019    0.21718
     0.99163    0.25758
     1.00000    0.41276
