#      x          Cp  
     1.00000    0.21928
     0.99180    0.18969
     0.98067    0.14994
     0.96782    0.10848
     0.95357    0.06757
     0.93838    0.02889
     0.92265   -0.00695
     0.90663   -0.03998
     0.89046   -0.07056
     0.87420   -0.09907
     0.85789   -0.12588
     0.84156   -0.15130
     0.82520   -0.17557
     0.80884   -0.19890
     0.79245   -0.22146
     0.77606   -0.24339
     0.75966   -0.26480
     0.74326   -0.28579
     0.72684   -0.30646
     0.71043   -0.32689
     0.69401   -0.34713
     0.67758   -0.36725
     0.66116   -0.38731
     0.64474   -0.40736
     0.62832   -0.42745
     0.61191   -0.44763
     0.59550   -0.46794
     0.57909   -0.48844
     0.56270   -0.50915
     0.54631   -0.53014
     0.52994   -0.55146
     0.51358   -0.57316
     0.49724   -0.59531
     0.48092   -0.61799
     0.46462   -0.64131
     0.44834   -0.66540
     0.43211   -0.69053
     0.41592   -0.71692
     0.39982   -0.74692
     0.38384   -0.77744
     0.36794   -0.80455
     0.35210   -0.83099
     0.33632   -0.85684
     0.32059   -0.88235
     0.30492   -0.90762
     0.28931   -0.93276
     0.27377   -0.95783
     0.25831   -0.98290
     0.24293   -1.00804
     0.22765   -1.03332
     0.21248   -1.05882
     0.19745   -1.08466
     0.18256   -1.11095
     0.16785   -1.13784
     0.15336   -1.16552
     0.13914   -1.19419
     0.12525   -1.22408
     0.11179   -1.25544
     0.09889   -1.28847
     0.08668   -1.32331
     0.07533   -1.35990
     0.06499   -1.39723
     0.05575   -1.43247
     0.04761   -1.46715
     0.04054   -1.52488
     0.03441   -1.56350
     0.02911   -1.60174
     0.02453   -1.63831
     0.02055   -1.67158
     0.01707   -1.70005
     0.01404   -1.72167
     0.01138   -1.73367
     0.00906   -1.73222
     0.00704   -1.71221
     0.00530   -1.66694
     0.00381   -1.58827
     0.00258   -1.46723
     0.00159   -1.29592
     0.00084   -1.07085
     0.00034   -0.79729
     0.00006   -0.49129
     0.00001   -0.18227
     0.00016    0.12129
     0.00056    0.40805
     0.00122    0.64968
     0.00215    0.82765
     0.00334    0.93849
     0.00480    0.99072
     0.00653    0.99856
     0.00853    0.97596
     0.01081    0.93422
     0.01339    0.88132
     0.01631    0.82277
     0.01960    0.76188
     0.02333    0.70091
     0.02757    0.64103
     0.03242    0.58307
     0.03798    0.52750
     0.04440    0.47472
     0.05181    0.42508
     0.06036    0.37905
     0.07013    0.33714
     0.08113    0.29983
     0.09329    0.26738
     0.10643    0.23980
     0.12037    0.21677
     0.13492    0.19779
     0.14993    0.18227
     0.16529    0.16964
     0.18092    0.15940
     0.19677    0.15112
     0.21279    0.14445
     0.22896    0.13907
     0.24525    0.13475
     0.26165    0.13127
     0.27814    0.12846
     0.29471    0.12616
     0.31136    0.12422
     0.32807    0.12251
     0.34483    0.12087
     0.36165    0.11909
     0.37849    0.11665
     0.39533    0.11449
     0.41212    0.11391
     0.42888    0.11020
     0.44564    0.10729
     0.46241    0.10585
     0.47921    0.10520
     0.49603    0.10497
     0.51287    0.10503
     0.52974    0.10532
     0.54662    0.10577
     0.56353    0.10637
     0.58045    0.10709
     0.59738    0.10790
     0.61433    0.10879
     0.63130    0.10974
     0.64827    0.11075
     0.66525    0.11182
     0.68225    0.11294
     0.69925    0.11412
     0.71625    0.11537
     0.73326    0.11669
     0.75027    0.11810
     0.76729    0.11963
     0.78430    0.12130
     0.80132    0.12314
     0.81833    0.12521
     0.83534    0.12755
     0.85233    0.13026
     0.86931    0.13343
     0.88624    0.13720
     0.90311    0.14176
     0.91982    0.14738
     0.93623    0.15442
     0.95207    0.16336
     0.96689    0.17496
     0.98019    0.18955
     0.99163    0.21186
     1.00000    0.21928
