#      x          Cp  
     1.00000    0.43660
     0.99180    0.23121
     0.98067    0.16142
     0.96782    0.09837
     0.95357    0.04571
     0.93838   -0.00126
     0.92265   -0.04369
     0.90663   -0.08262
     0.89046   -0.11879
     0.87420   -0.15281
     0.85789   -0.18514
     0.84156   -0.21613
     0.82520   -0.24605
     0.80884   -0.27515
     0.79245   -0.30359
     0.77606   -0.33154
     0.75966   -0.35912
     0.74326   -0.38644
     0.72684   -0.41361
     0.71043   -0.44072
     0.69401   -0.46785
     0.67758   -0.49507
     0.66116   -0.52246
     0.64474   -0.55009
     0.62832   -0.57803
     0.61191   -0.60633
     0.59550   -0.63508
     0.57909   -0.66435
     0.56270   -0.69419
     0.54631   -0.72470
     0.52994   -0.75596
     0.51358   -0.78806
     0.49724   -0.82111
     0.48092   -0.85524
     0.46462   -0.89062
     0.44834   -0.92745
     0.43211   -0.96610
     0.41592   -1.00684
     0.39982   -1.05325
     0.38384   -1.10115
     0.36794   -1.14510
     0.35210   -1.18927
     0.33632   -1.23375
     0.32059   -1.27893
     0.30492   -1.32507
     0.28931   -1.37241
     0.27377   -1.42119
     0.25831   -1.47167
     0.24293   -1.52414
     0.22765   -1.57895
     0.21248   -1.63651
     0.19745   -1.69732
     0.18256   -1.76199
     0.16785   -1.83124
     0.15336   -1.90597
     0.13914   -1.98725
     0.12525   -2.07635
     0.11179   -2.17467
     0.09889   -2.28368
     0.08668   -2.40468
     0.07533   -2.53858
     0.06499   -2.68563
     0.05575   -2.84540
     0.04761   -3.01703
     0.04054   -3.19963
     0.03441   -3.39241
     0.02911   -3.59506
     0.02453   -3.80727
     0.02055   -4.02889
     0.01707   -4.25943
     0.01404   -4.49758
     0.01138   -4.74075
     0.00906   -4.98417
     0.00704   -5.21973
     0.00530   -5.43450
     0.00381   -5.60907
     0.00258   -5.71656
     0.00159   -5.72373
     0.00084   -5.59650
     0.00034   -5.31158
     0.00006   -4.86908
     0.00001   -4.31648
     0.00016   -3.67311
     0.00056   -2.92928
     0.00122   -2.14968
     0.00215   -1.40793
     0.00334   -0.76192
     0.00480   -0.23783
     0.00653    0.16490
     0.00853    0.46170
     0.01081    0.67272
     0.01339    0.81714
     0.01631    0.91099
     0.01960    0.96678
     0.02333    0.99400
     0.02757    0.99969
     0.03242    0.98905
     0.03798    0.96602
     0.04440    0.93362
     0.05181    0.89435
     0.06036    0.85045
     0.07013    0.80410
     0.08113    0.75736
     0.09329    0.71206
     0.10643    0.66957
     0.12037    0.63067
     0.13492    0.59563
     0.14993    0.56434
     0.16529    0.53653
     0.18092    0.51182
     0.19677    0.48983
     0.21279    0.47021
     0.22896    0.45264
     0.24525    0.43683
     0.26165    0.42253
     0.27814    0.40952
     0.29471    0.39760
     0.31136    0.38660
     0.32807    0.37635
     0.34483    0.36668
     0.36165    0.35742
     0.37849    0.34839
     0.39533    0.33880
     0.41212    0.32845
     0.42888    0.32045
     0.44564    0.31331
     0.46241    0.30685
     0.47921    0.30093
     0.49603    0.29547
     0.51287    0.29040
     0.52974    0.28568
     0.54662    0.28125
     0.56353    0.27708
     0.58045    0.27315
     0.59738    0.26943
     0.61433    0.26589
     0.63130    0.26253
     0.64827    0.25932
     0.66525    0.25626
     0.68225    0.25334
     0.69925    0.25056
     0.71625    0.24791
     0.73326    0.24541
     0.75027    0.24306
     0.76729    0.24088
     0.78430    0.23890
     0.80132    0.23714
     0.81833    0.23565
     0.83534    0.23448
     0.85233    0.23373
     0.86931    0.23351
     0.88624    0.23397
     0.90311    0.23537
     0.91982    0.23806
     0.93623    0.24259
     0.95207    0.24986
     0.96689    0.26127
     0.98019    0.27999
     0.99163    0.30838
     1.00000    0.43660
