  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -6.000  -0.4695   0.00000  -0.00111  -0.0474   0.0000   0.0000   0.0000   0.0000
  -5.000  -0.3488   0.00000  -0.00109  -0.0487   0.0000   0.0000   0.0000   0.0000
  -4.000  -0.2281   0.00000  -0.00108  -0.0501   0.0000   0.0000   0.0000   0.0000
  -3.000  -0.1072   0.00000  -0.00108  -0.0515   0.0000   0.0000   0.0000   0.0000
  -2.000   0.0137   0.00000  -0.00107  -0.0529   0.0000   0.0000   0.0000   0.0000
  -1.000   0.1345   0.00000  -0.00107  -0.0543   0.0000   0.0000   0.0000   0.0000
   0.000   0.2554   0.00000  -0.00107  -0.0557   0.0000   0.0000   0.0000   0.0000
   1.000   0.3761   0.00000  -0.00107  -0.0572   0.0000   0.0000   0.0000   0.0000
   2.000   0.4968   0.00000  -0.00108  -0.0587   0.0000   0.0000   0.0000   0.0000
   3.000   0.6173   0.00000  -0.00109  -0.0601   0.0000   0.0000   0.0000   0.0000
   4.000   0.7376   0.00000  -0.00110  -0.0616   0.0000   0.0000   0.0000   0.0000
   5.000   0.8577   0.00000  -0.00111  -0.0631   0.0000   0.0000   0.0000   0.0000
   6.000   0.9775   0.00000  -0.00113  -0.0646   0.0000   0.0000   0.0000   0.0000
   7.000   1.0970   0.00000  -0.00115  -0.0661   0.0000   0.0000   0.0000   0.0000
   8.000   1.2162   0.00000  -0.00117  -0.0677   0.0000   0.0000   0.0000   0.0000
   9.000   1.3350   0.00000  -0.00119  -0.0692   0.0000   0.0000   0.0000   0.0000
  10.000   1.4534   0.00000  -0.00122  -0.0707   0.0000   0.0000   0.0000   0.0000
  11.000   1.5714   0.00000  -0.00125  -0.0722   0.0000   0.0000   0.0000   0.0000
  12.000   1.6889   0.00000  -0.00128  -0.0737   0.0000   0.0000   0.0000   0.0000
  13.000   1.8059   0.00000  -0.00131  -0.0752   0.0000   0.0000   0.0000   0.0000
  14.000   1.9223   0.00000  -0.00135  -0.0767   0.0000   0.0000   0.0000   0.0000
  15.000   2.0382   0.00000  -0.00139  -0.0782   0.0000   0.0000   0.0000   0.0000
  16.000   2.1534   0.00000  -0.00142  -0.0796   0.0000   0.0000   0.0000   0.0000
