  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -6.000  -0.4371   0.00669   0.00124  -0.0519   0.8259   0.0318  12.9576  96.8784
  -5.000  -0.3243   0.00631   0.00093  -0.0519   0.7739   0.0435  16.1293  98.8639
  -4.000  -0.2111   0.00603   0.00068  -0.0520   0.7142   0.0625  19.7712 101.2230
  -3.000  -0.0977   0.00579   0.00049  -0.0521   0.6512   0.0960  23.6054 104.2099
  -2.000   0.0158   0.00559   0.00036  -0.0523   0.5881   0.1487  27.4503 107.9200
  -1.000   0.1294   0.00545   0.00030  -0.0526   0.5284   0.2216  31.0971 112.5432
   0.000   0.2432   0.00534   0.00028  -0.0529   0.4772   0.3113  34.2293 117.9992
   1.000   0.3564   0.00518   0.00030  -0.0531   0.4307   0.4478  37.0878 126.1297
   2.000   0.4688   0.00507   0.00038  -0.0533   0.3793   0.6107  40.2852 135.7867
   3.000   0.5790   0.00526   0.00056  -0.0530   0.3054   0.7580  44.9717 144.4528
   4.000   0.6859   0.00563   0.00085  -0.0520   0.2243   0.9005  50.2195 152.8452
   5.000   0.7882   0.00637   0.00124  -0.0499   0.1440   0.9827  55.6561 158.2218
   6.000   0.9162   0.00739   0.00171  -0.0540   0.0808   0.9999  60.5204 159.9839
   7.000   1.0151   0.00828   0.00213  -0.0516   0.0493   1.0000  63.7953 160.0000
   8.000   1.1181   0.00915   0.00257  -0.0501   0.0336   1.0000  66.1507 160.0000
   9.000   1.2204   0.01009   0.00306  -0.0487   0.0244   1.0000  68.0382 160.0000
  10.000   1.3209   0.01110   0.00360  -0.0472   0.0192   1.0000  69.3761 160.0000
  11.000   1.4180   0.01223   0.00420  -0.0452   0.0156   1.0000  70.4691 160.0000
  12.000   1.5106   0.01349   0.00486  -0.0426   0.0132   1.0000  71.3233 160.0000
  13.000   1.5958   0.01499   0.00563  -0.0390   0.0112   1.0000  72.0681 160.0000
  14.000   1.6661   0.01664   0.00641  -0.0329   0.0100   1.0000  72.5690 160.0000
  15.000   1.7235   0.01890   0.00750  -0.0258   0.0089   1.0000  73.0608 160.0000
  16.000   1.7755   0.02180   0.00895  -0.0195   0.0084   1.0000  73.3342 160.0000
