  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    50.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -6.000  -0.4527   0.00547   0.00096  -0.0495   0.4809   0.0181  34.0023  93.5379
  -5.000  -0.3370   0.00524   0.00077  -0.0501   0.4455   0.0228  36.1759  94.8710
  -4.000  -0.2208   0.00506   0.00063  -0.0507   0.4130   0.0299  38.1798  96.4734
  -3.000  -0.1047   0.00493   0.00052  -0.0513   0.3762   0.0421  40.4783  98.6368
  -2.000   0.0115   0.00485   0.00044  -0.0519   0.3342   0.0596  43.1341 100.9138
  -1.000   0.1275   0.00485   0.00042  -0.0525   0.2873   0.0840  46.1293 103.2397
   0.000   0.2431   0.00490   0.00043  -0.0531   0.2368   0.1198  49.4036 105.9618
   1.000   0.3583   0.00503   0.00048  -0.0536   0.1823   0.1635  53.0157 108.8842
   2.000   0.4731   0.00521   0.00058  -0.0541   0.1353   0.2111  56.2758 111.8954
   3.000   0.5873   0.00547   0.00072  -0.0544   0.0929   0.2617  59.4863 115.0009
   4.000   0.7011   0.00573   0.00088  -0.0548   0.0620   0.3247  62.3217 118.7958
   5.000   0.8142   0.00602   0.00108  -0.0551   0.0404   0.3918  65.0251 122.7881
   6.000   0.9267   0.00633   0.00131  -0.0553   0.0285   0.4710  67.1295 127.5119
   8.000   1.1485   0.00711   0.00186  -0.0554   0.0154   0.6144  70.5415 136.0060
   9.000   1.2573   0.00757   0.00219  -0.0552   0.0117   0.7027  71.8713 141.2049
  10.000   1.3642   0.00797   0.00257  -0.0547   0.0099   0.8519  72.6360 149.9720
  11.000   1.4688   0.00851   0.00297  -0.0539   0.0085   0.9474  73.2925 155.7077
  12.000   1.5696   0.00923   0.00338  -0.0524   0.0070   0.9942  74.0176 159.3053
  13.000   1.6708   0.01011   0.00383  -0.0512   0.0064   1.0000  74.3806 160.0000
  14.000   1.7668   0.01111   0.00431  -0.0493   0.0053   1.0000  75.0056 160.0000
  15.000   1.8586   0.01216   0.00476  -0.0467   0.0051   1.0000  75.1159 160.0000
  16.000   1.9406   0.01351   0.00533  -0.0427   0.0044   1.0000  75.5686 160.0000
