#      x          Cp  
     1.00000    0.41163
     0.99168    0.23647
     0.98037    0.18597
     0.96727    0.14434
     0.95272    0.11224
     0.93720    0.08553
     0.92112    0.06280
     0.90474    0.04301
     0.88821    0.02546
     0.87160    0.00963
     0.85494   -0.00486
     0.83827   -0.01829
     0.82158   -0.03088
     0.80488   -0.04278
     0.78817   -0.05412
     0.77146   -0.06500
     0.75475   -0.07552
     0.73803   -0.08574
     0.72132   -0.09572
     0.70460   -0.10550
     0.68789   -0.11513
     0.67118   -0.12464
     0.65447   -0.13407
     0.63777   -0.14344
     0.62108   -0.15277
     0.60440   -0.16208
     0.58772   -0.17139
     0.57106   -0.18071
     0.55441   -0.19005
     0.53778   -0.19942
     0.52116   -0.20883
     0.50456   -0.21827
     0.48798   -0.22775
     0.47143   -0.23728
     0.45489   -0.24684
     0.43839   -0.25643
     0.42191   -0.26605
     0.40546   -0.27568
     0.38905   -0.28531
     0.37268   -0.29493
     0.35635   -0.30451
     0.34007   -0.31404
     0.32383   -0.32350
     0.30766   -0.33283
     0.29154   -0.34202
     0.27550   -0.35102
     0.25953   -0.35979
     0.24366   -0.36825
     0.22788   -0.37635
     0.21222   -0.38400
     0.19670   -0.39110
     0.18135   -0.39754
     0.16619   -0.40316
     0.15127   -0.40777
     0.13666   -0.41115
     0.12246   -0.41299
     0.10877   -0.41296
     0.09575   -0.41063
     0.08358   -0.40556
     0.07242   -0.39733
     0.06239   -0.38557
     0.05354   -0.36998
     0.04581   -0.35029
     0.03910   -0.32619
     0.03329   -0.29727
     0.02826   -0.26295
     0.02387   -0.22246
     0.02003   -0.17486
     0.01666   -0.11893
     0.01369   -0.05325
     0.01108    0.02376
     0.00879    0.11364
     0.00678    0.21764
     0.00505    0.33596
     0.00358    0.46681
     0.00236    0.60502
     0.00140    0.74090
     0.00070    0.86051
     0.00024    0.94879
     0.00003    0.99439
     0.00003    0.99439
     0.00024    0.94879
     0.00070    0.86051
     0.00140    0.74090
     0.00236    0.60502
     0.00358    0.46681
     0.00505    0.33596
     0.00678    0.21764
     0.00879    0.11364
     0.01108    0.02376
     0.01369   -0.05325
     0.01666   -0.11893
     0.02003   -0.17486
     0.02387   -0.22246
     0.02826   -0.26295
     0.03329   -0.29727
     0.03910   -0.32619
     0.04581   -0.35029
     0.05354   -0.36998
     0.06239   -0.38557
     0.07242   -0.39733
     0.08358   -0.40556
     0.09575   -0.41063
     0.10877   -0.41296
     0.12246   -0.41299
     0.13666   -0.41115
     0.15127   -0.40777
     0.16619   -0.40316
     0.18135   -0.39754
     0.19670   -0.39110
     0.21222   -0.38400
     0.22788   -0.37635
     0.24366   -0.36825
     0.25953   -0.35979
     0.27550   -0.35102
     0.29154   -0.34202
     0.30766   -0.33283
     0.32383   -0.32350
     0.34007   -0.31404
     0.35635   -0.30451
     0.37268   -0.29493
     0.38905   -0.28531
     0.40546   -0.27568
     0.42191   -0.26605
     0.43839   -0.25643
     0.45489   -0.24684
     0.47143   -0.23728
     0.48798   -0.22775
     0.50456   -0.21827
     0.52116   -0.20883
     0.53778   -0.19942
     0.55441   -0.19005
     0.57106   -0.18071
     0.58772   -0.17139
     0.60440   -0.16208
     0.62108   -0.15277
     0.63777   -0.14344
     0.65447   -0.13407
     0.67118   -0.12464
     0.68789   -0.11513
     0.70460   -0.10550
     0.72132   -0.09572
     0.73803   -0.08574
     0.75475   -0.07552
     0.77146   -0.06500
     0.78817   -0.05412
     0.80488   -0.04278
     0.82158   -0.03088
     0.83827   -0.01829
     0.85494   -0.00486
     0.87160    0.00963
     0.88821    0.02546
     0.90474    0.04301
     0.92112    0.06280
     0.93720    0.08553
     0.95272    0.11224
     0.96727    0.14434
     0.98037    0.18597
     0.99168    0.23647
     1.00000    0.41163
