# x-coordinate y-coordinate Lambda-value
9.995066821070679453e-01 6.991481777739172454e-04 -1.953099906973573526e-03
9.975353574356873310e-01 1.604973452894981056e-03 2.604826420736797778e-05
9.936004880107917048e-01 2.153688400261213887e-03 -5.815186450124144087e-04
9.877176029643299771e-01 2.969015936119923094e-03 -8.895368270604204911e-04
9.799099193559461796e-01 4.041800340588264095e-03 -1.159417983815104513e-03
9.702082505458512474e-01 5.361137416909314557e-03 -1.419937631928742429e-03
9.586508845885677310e-01 6.913322623539122636e-03 -1.668767092354232155e-03
9.452834331274707624e-01 8.681074006623233641e-03 -1.901155990360819253e-03
9.301586513864696926e-01 1.064766277414984363e-02 -2.125208026284257281e-03
9.133362299692406872e-01 1.279657167829095776e-02 -2.334603385258001915e-03
8.948825592876841206e-01 1.510400088043687555e-02 -2.509071054343646207e-03
8.748704675493002014e-01 1.754930876176471338e-02 -2.680951300342088867e-03
8.533789333375250141e-01 2.011618637664452230e-02 -2.833963390213673980e-03
8.304927739193446179e-01 2.277946769896413426e-02 -2.950126048721409683e-03
8.063023105102906651e-01 2.551514949611168037e-02 -3.052607980348235033e-03
7.809030118178673652e-01 2.830556706533937650e-02 -3.143202141557777541e-03
7.543951172701779395e-01 3.112841932436392206e-02 -3.201379346314341644e-03
7.268832414166970235e-01 3.395507678948091884e-02 -3.222633098532028378e-03
6.984759610624375892e-01 3.676493701076943843e-02 -3.245270342499656860e-03
6.692853867649063426e-01 3.954082272338575732e-02 -3.244908240812046860e-03
6.394267203849505199e-01 4.224669170138140029e-02 -3.167144106636551795e-03
6.090178004376447518e-01 4.485666554463475786e-02 -3.110746745918312531e-03
5.781786370375072703e-01 4.735686714625284011e-02 -3.026548682978008348e-03
5.470309382734044323e-01 4.971066406438796187e-02 -2.865011249744314845e-03
5.156976298823282567e-01 5.188462088652299325e-02 -2.689598530963068727e-03
4.843023701176716322e-01 5.386171285100375267e-02 -2.506005661170160239e-03
4.529690617265955677e-01 5.561389314874500001e-02 -2.256565120876966729e-03
4.218213629624927297e-01 5.709873360650195850e-02 -1.932064285211746628e-03
3.909821995623550817e-01 5.829670408155238071e-02 -1.639931928900426918e-03
3.605732796150493691e-01 5.919965074043306158e-02 -1.317639610496988255e-03
3.307146132350936574e-01 5.975602729804867230e-02 -8.242956234846870100e-04
3.015240389375623553e-01 5.994503268672343732e-02 -4.347680186440357327e-04
